advertiser_name,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate
Steve Madden (Canada),1,0.00,0,0,0.000000,0.000000
Maisonette,10,0.00,0,0,0.000000,0.000000
Annie Selke,69,0.00,0,0,0.000000,0.000000
AUrate New York,8,0.00,0,0,0.000000,0.000000
Frank & Eileen,17,0.00,0,0,0.000000,0.000000
Nike (SE),1,0.00,0,0,0.000000,0.000000
Backcountry,26,0.00,0,0,0.000000,0.000000
Mr Porter (AU),2,0.00,0,0,0.000000,0.000000
Nike (AU),5,0.00,0,0,0.000000,0.000000
Saint Bernard,2,0.00,0,0,0.000000,0.000000
END. Clothing,2,0.00,0,0,0.000000,0.000000
Frame Denim,14,0.00,0,0,0.000000,0.000000
Retrofete,1,0.00,0,0,0.000000,0.000000
Our Place,25,0.00,0,0,0.000000,0.000000
Massimo Dutti DE,1,0.00,0,0,0.000000,0.000000
Halfdays,2,0.00,0,0,0.000000,0.000000
rihoas.com,1,0.00,0,0,0.000000,0.000000
Pura Vida Bracelets,5,0.00,0,0,0.000000,0.000000
2Modern (US),15,0.00,0,0,0.000000,0.000000
Nike (ROW),1,0.00,0,0,0.000000,0.000000
Abercrombie & Fitch (US),2,0.00,0,0,0.000000,0.000000
H&M (US + CA),57,0.00,0,0,0.000000,0.000000
eBay BE,1,0.00,0,0,0.000000,0.000000
The Outnet (UK and Europe),1,0.00,0,0,0.000000,0.000000
Free People FR,10,0E-11,1,1,0.100000,0.100000
Linus,4,0.00,0,0,0.000000,0.000000
Etsy (IT),5,0.00,0,0,0.000000,0.000000
STATE Bags,12,0.00,0,0,0.000000,0.000000
eBay IT,1,0.00,0,0,0.000000,0.000000
Luisaviaroma,90,0.00,0,0,0.000000,0.000000
Matches (US),4,0.00,0,0,0.000000,0.000000
Mark and Graham,140,0.00,0,0,0.000000,0.000000
Mytheresa (US/CA),502,0.00,0,0,0.000000,0.000000
Isabel Marant,12,0.00,0,0,0.000000,0.000000
Wolf & Badger,6,0.00,0,0,0.000000,0.000000
Jimmy Choo (US),2,0.00,0,0,0.000000,0.000000
UGG (US),2,0.00,0,0,0.000000,0.000000
Etsy (ES),14,0.00,0,0,0.000000,0.000000
Vera Bradley,3,0.00,0,0,0.000000,0.000000
Urban Outfitters (EU),22,0.00,0,0,0.000000,0.000000
Mango EU,39,0.00,0,0,0.000000,0.000000
Jackery,44,0.00,0,0,0.000000,0.000000
Gap Factory,11,0.00,0,0,0.000000,0.000000
KICKS CREW,6,0.00,0,0,0.000000,0.000000
White House Black Market,10,0E-11,1,2,0.100000,0.200000
Etsy (CAD),86,0.00,0,0,0.000000,0.000000
Nike Asia Pacific,6,0.00,0,0,0.000000,0.000000
Good American,5,0.00,0,0,0.000000,0.000000
Parachute,4,0.00,0,0,0.000000,0.000000
7 For All Mankind,1,0.00,0,0,0.000000,0.000000
Harrods,29,0.00,0,0,0.000000,0.000000
Apple (US),2,0.00,0,0,0.000000,0.000000
LOZURI,3,0.00,0,0,0.000000,0.000000
adidas IE,6,0.00,0,0,0.000000,0.000000
The North Face DE,5,0.00,0,0,0.000000,0.000000
Solid & Striped,1,0.00,0,0,0.000000,0.000000
Rails,1,0.00,0,0,0.000000,0.000000
Banana Republic (CA),5,0.00,0,0,0.000000,0.000000
HUNZA G,1,0.00,0,0,0.000000,0.000000
adidas (UK),25,0.00,0,0,0.000000,0.000000
24S US,147,0.00,0,0,0.000000,0.000000
Homecourt,3,0.00,0,0,0.000000,0.000000
Pinto Ranch,7,0.00,0,0,0.000000,0.000000
Theory,1,0.00,0,0,0.000000,0.000000
YSE Beauty,2,0.00,0,0,0.000000,0.000000
MANGO (UK),29,0.00,0,0,0.000000,0.000000
Saucony US,1,0.00,0,0,0.000000,0.000000
TROVATA,14,0.00,0,0,0.000000,0.000000
Nike (IE),7,0.00,0,0,0.000000,0.000000
YETI US,1,0.00,0,0,0.000000,0.000000
Cettire Global,194,0.00,0,0,0.000000,0.000000
MANGO (US),1,0.00,0,0,0.000000,0.000000
Lily & Roo,8,0.00,0,0,0.000000,0.000000
DICK'S Sporting Goods,1,0.00,0,0,0.000000,0.000000
BEIS,6,0.00,0,0,0.000000,0.000000
Negative Underwear,1,0.00,0,0,0.000000,0.000000
eBay IE,9,0.00,0,0,0.000000,0.000000
eBay AU,11,0.00,0,0,0.000000,0.000000
Macy's Canada,12,0.00,0,0,0.000000,0.000000
Etsy (EU),29,0.00,0,0,0.000000,0.000000
Overstock,27,0.00,0,0,0.000000,0.000000
MANSUR GAVRIEL,2,0.00,0,0,0.000000,0.000000
Etsy (AU),22,0.00,0,0,0.000000,0.000000
Anine Bing,5,0.00,0,0,0.000000,0.000000
New Balance Canada,4,0.00,0,0,0.000000,0.000000
Albion Fit,5,0.00,0,0,0.000000,0.000000
PUMA US,5,0.00,0,0,0.000000,0.000000
Miu Miu UK,19,0.00,0,0,0.000000,0.000000
Food52,107,0E-11,1,2,0.009345,0.018691
Victoria Beckham US,1,0.00,0,0,0.000000,0.000000
Moda Operandi (Global),537,0E-11,1,2,0.001862,0.003724
Sunglass Hut (US),15,0.00,0,0,0.000000,0.000000
Sperry US,1,0.00,0,0,0.000000,0.000000
CAMI NYC,1,0.00,0,0,0.000000,0.000000
Alex Mill,16,0.00,0,0,0.000000,0.000000
3.1 Phillip Lim,1,0.00,0,0,0.000000,0.000000
Etsy (FR),9,0.00,0,0,0.000000,0.000000
Italist,3,0.00,0,0,0.000000,0.000000
Away,5,0.00,0,0,0.000000,0.000000
Pottery Barn Kids,7,0.00,0,0,0.000000,0.000000
Nike (NL),2,0.00,0,0,0.000000,0.000000
Beyond Yoga,2,0.00,0,0,0.000000,0.000000
JBL / Harman,2,0.00,0,0,0.000000,0.000000
Nike (DE),3,0.00,0,0,0.000000,0.000000
REI,2,0.00,0,0,0.000000,0.000000
Paige,1,0.00,0,0,0.000000,0.000000
Converse (US),299,0E-11,6,0,0.020066,0.000000
Citizens of Humanity,31,0.00,0,0,0.000000,0.000000
Westman Atelier,4,0.00,0,0,0.000000,0.000000
ME+EM Global (Excluding US),125,0.00,0,0,0.000000,0.000000
Scarosso,4,0.00,0,0,0.000000,0.000000
Loeffler Randall,28,0.00,0,0,0.000000,0.000000
Bala,4,0.00,0,0,0.000000,0.000000
Z Supply,5,0.00,0,0,0.000000,0.000000
"Dior Beauty (EU,AU,CA,JP)",2,0.00,0,0,0.000000,0.000000
Free People (UK),50,0.00,0,0,0.000000,0.000000
Nike (EE),1,0.00,0,0,0.000000,0.000000
Anthropologie (UK),1,0.00,0,0,0.000000,0.000000
Gap (CA),3,0.00,0,0,0.000000,0.000000
Roxanne Assoulin,32,0.00,0,0,0.000000,0.000000
Saint Laurent Inc. (Global),56,0.00,0,0,0.000000,0.000000
Chloe UK,10,0.00,0,0,0.000000,0.000000
Miu Miu INT,16,0.00,0,0,0.000000,0.000000
rhode skin,1,0.00,0,0,0.000000,0.000000
The Outnet (US and CA),21,0.00,0,0,0.000000,0.000000
AnotherTomorrow,48,0E-11,1,2,0.020833,0.041666
Aldo Shoes (US),1,0.00,0,0,0.000000,0.000000
COS UK,2,0.00,0,0,0.000000,0.000000
BÉIS Travel,2,0.00,0,0,0.000000,0.000000
Gucci (US),16,0.00,0,0,0.000000,0.000000
Verishop,1,0.00,0,0,0.000000,0.000000
Pottery Barn (US),3,0.00,0,0,0.000000,0.000000
Paula's Choice (AU & US),1,0.00,0,0,0.000000,0.000000
Bloomingdale's (CA),93,0.00,0,0,0.000000,0.000000
eBay AT,5,0.00,0,0,0.000000,0.000000
Massimo Dutti US,8,0.00,0,0,0.000000,0.000000
Levi's EU,3,0.00,0,0,0.000000,0.000000
Levi's US,37,0.00,0,0,0.000000,0.000000
JOES,3,0.00,0,0,0.000000,0.000000
Emme Parsons,12,0.00,0,0,0.000000,0.000000
Nike (IT),1,0.00,0,0,0.000000,0.000000
Target AU,1,0.00,0,0,0.000000,0.000000
eBay UK,39,0.00,0,0,0.000000,0.000000
Beautycounter.com,4,0.00,0,0,0.000000,0.000000
Miron Crosby,16,0.00,0,0,0.000000,0.000000
West Elm CA,5,0.00,0,0,0.000000,0.000000
H&M (AU),1,0.00,0,0,0.000000,0.000000
Senser US,13,0.00,0,0,0.000000,0.000000
The North Face (US),63,0.00,0,0,0.000000,0.000000
Courant,5,0.00,0,0,0.000000,0.000000
Vince LLC,150,0E-11,1,1,0.006666,0.006666
Cara Cara New York,36,0.00,0,0,0.000000,0.000000
Ulta,7,0.00,0,0,0.000000,0.000000
Hatch,1,0.00,0,0,0.000000,0.000000
illesteva,8,0.00,0,0,0.000000,0.000000
Xirena,4,0.00,0,0,0.000000,0.000000
UNIQLO (DE),1,0.00,0,0,0.000000,0.000000
White and Warren,66,0.00,0,0,0.000000,0.000000
Scheels,175,0.00,0,0,0.000000,0.000000
MESHKI US,1,0.00,0,0,0.000000,0.000000
24S (APAC/EU),8,0.00,0,0,0.000000,0.000000
La Ligne,31,0.00,0,0,0.000000,0.000000
Ray-Ban (US),1,0.00,0,0,0.000000,0.000000
Larroude,1,0.00,0,0,0.000000,0.000000
Quince,13,0.00,0,0,0.000000,0.000000
ANDREA IYAMAH,5,0.00,0,0,0.000000,0.000000
Hampden Clothing,104,0E-11,1,1,0.009615,0.009615
Vitamin A,6,0.00,0,0,0.000000,0.000000
Mejuri Fine Crew,141,0.00,0,0,0.000000,0.000000
Boden (US),1,0.00,0,0,0.000000,0.000000
Rebag,76,0.00,0,0,0.000000,0.000000
Macy's AU | APAC,3,0.00,0,0,0.000000,0.000000
Lapointe (US),1,0.00,0,0,0.000000,0.000000
Caraway,5,0.00,0,0,0.000000,0.000000
Ulla Johnson,11,0.00,0,0,0.000000,0.000000
Mr Porter (DE),2,0.00,0,0,0.000000,0.000000
eBay CA,30,0.00,0,0,0.000000,0.000000
RE/DONE,2,0.00,0,0,0.000000,0.000000
Crate & Barrel,8,0.00,0,0,0.000000,0.000000
"New Balance Athletics, Inc.",71,0.00,0,0,0.000000,0.000000
Urban Outfitters UK,34,0.00,0,0,0.000000,0.000000
FASHIONPHILE (US),397,0.00,0,0,0.000000,0.000000
Ramy Brook,10,0.00,0,0,0.000000,0.000000
Theragun,2,0.00,0,0,0.000000,0.000000
"H&M (DE, AT, CH, NL, FI)",1,0.00,0,0,0.000000,0.000000
YOOX (US),2,0.00,0,0,0.000000,0.000000
Nike (AT),3,0.00,0,0,0.000000,0.000000
Sarah Chloe,2,0.00,0,0,0.000000,0.000000
Furbish Studio,2,0.00,0,0,0.000000,0.000000
Nordstrom,3,0.00,0,0,0.000000,0.000000
Fanatics,10,0.00,0,0,0.000000,0.000000
Nili Lotan,10,0.00,0,0,0.000000,0.000000
ba&sh(US),1,0.00,0,0,0.000000,0.000000
"ZIMMERMANN (US, CA, EU, MENA)",1,0.00,0,0,0.000000,0.000000
World Market,11,0.00,0,0,0.000000,0.000000
LilySilk,4,0.00,0,0,0.000000,0.000000
Italist.com US,10,0.00,0,0,0.000000,0.000000
COS (US),44,0.00,0,0,0.000000,0.000000
eBay DE,9,0.00,0,0,0.000000,0.000000
Dick's Sporting Goods,1,0.00,0,0,0.000000,0.000000
Mytheresa (IT),1,0.00,0,0,0.000000,0.000000
COS (AU),2,0.00,0,0,0.000000,0.000000
L'AVANT Collective,18,0.00,0,0,0.000000,0.000000
Tuckernuck (US),45,0E-11,1,3,0.022222,0.066666
LilySilk,1,0.00,0,0,0.000000,0.000000
Maje US,4,0.00,0,0,0.000000,0.000000
Negative Underwear,1,0.00,0,0,0.000000,0.000000
Etsy (UK),45,0.00,0,0,0.000000,0.000000
Nike (UK),10,0.00,0,0,0.000000,0.000000
Monday Swimwear,2,0.00,0,0,0.000000,0.000000
L'Agence,21,0.00,0,0,0.000000,0.000000
eBay NL,1,0.00,0,0,0.000000,0.000000
Lela Rose,74,0.00,0,0,0.000000,0.000000
RHODE,1,0.00,0,0,0.000000,0.000000
Arc'teryx,8,0.00,0,0,0.000000,0.000000
Alice + Olivia,3,0.00,0,0,0.000000,0.000000
Seezona,1,0.00,0,0,0.000000,0.000000
perfectwhitetee,17,0.00,0,0,0.000000,0.000000
Nike (FR),1,0.00,0,0,0.000000,0.000000
Margaux,18,0.00,0,0,0.000000,0.000000
Rat & Boa,8,0.00,0,0,0.000000,0.000000
Ettika,7,0.00,0,0,0.000000,0.000000
CADDIS,1,0.00,0,0,0.000000,0.000000
GreenRow,13,0.00,0,0,0.000000,0.000000
Autumn Cashmere,3,0.00,0,0,0.000000,0.000000
Mytheresa (DACH),9,0.00,0,0,0.000000,0.000000
Everlane,21,0.00,0,0,0.000000,0.000000
Schutz (US),2,0.00,0,0,0.000000,0.000000
Bottega Veneta,557,0.00,0,0,0.000000,0.000000
Sea New York,789,0E-11,1,1,0.001267,0.001267
Mr Porter (UK),2,0.00,0,0,0.000000,0.000000
Bloomingdale's (AU),33,0.00,0,0,0.000000,0.000000
OMNES UK,2,0.00,0,0,0.000000,0.000000
Mango Canada,53,0.00,0,0,0.000000,0.000000
Buck Mason,126,0E-11,1,1,0.007936,0.007936
Casetify (Global),6,0.00,0,0,0.000000,0.000000
Shop Savannahs (US),5,0.00,0,0,0.000000,0.000000
Olivela,2,0.00,0,0,0.000000,0.000000
My Mum Made It,1,0.00,0,0,0.000000,0.000000
Vestiaire Collective (Global),22,0.00,0,0,0.000000,0.000000
Williams-Sonoma CA,3,0.00,0,0,0.000000,0.000000
Apolis,1,0.00,0,0,0.000000,0.000000
Violet Grey,2,0.00,0,0,0.000000,0.000000
The Company Store,1,0.00,0,0,0.000000,0.000000
Malbon Golf,1,0.00,0,0,0.000000,0.000000
Etsy ROW,15,0.00,0,0,0.000000,0.000000
Mytheresa (UK),22,0.00,0,0,0.000000,0.000000
GOAT,3,0.00,0,0,0.000000,0.000000
Machete,10,0.00,0,0,0.000000,0.000000
Mytheresa (INTL),21,0.00,0,0,0.000000,0.000000
Simkhai,10,0.00,0,0,0.000000,0.000000
Bec & Bridge (Global),1,0.00,0,0,0.000000,0.000000
Alohas US,4,0.00,0,0,0.000000,0.000000
ASOS (Global),24,0.00,0,0,0.000000,0.000000
Frankies Bikinis,2,0.00,0,0,0.000000,0.000000
Prada INT,1,0.00,0,0,0.000000,0.000000
UNIQLO (US),8,0.00,0,0,0.000000,0.000000
Schoolhouse,35,0.00,0,0,0.000000,0.000000
Elwood Clothing,2,0.00,0,0,0.000000,0.000000
"The North Face (UK, IE)",17,0.00,0,0,0.000000,0.000000
Anthropologie (EU),14,0.00,0,0,0.000000,0.000000
GAP UK,1,0.00,0,0,0.000000,0.000000
Nike TR,1,0.00,0,0,0.000000,0.000000
Mytheresa (FR),5,0.00,0,0,0.000000,0.000000
Nike (NO),2,0.00,0,0,0.000000,0.000000
THE GREAT.,2,0.00,0,0,0.000000,0.000000
West Elm (US),119,0.00,0,0,0.000000,0.000000
Jenni Kayne,28,0.00,0,0,0.000000,0.000000
Mr Porter (US & CA),57,0.00,0,0,0.000000,0.000000
JW PEI US,11,0.00,0,0,0.000000,0.000000
AGOLDE,7,0.00,0,0,0.000000,0.000000
Parker Thatch,70,0.00,0,0,0.000000,0.000000
James Perse (US),5,0.00,0,0,0.000000,0.000000
Mr Porter (EMEA),3,0.00,0,0,0.000000,0.000000
eBay FR,4,0.00,0,0,0.000000,0.000000
LEMIZ,58,0.00,0,0,0.000000,0.000000
Etsy (DACH),28,0.00,0,0,0.000000,0.000000
UGG (DE),1,0.00,0,0,0.000000,0.000000
& Other Stories - US,5,0.00,0,0,0.000000,0.000000
Prada US,9,0.00,0,0,0.000000,0.000000
Sézane - CA,28,0.00,0,0,0.000000,0.000000
"H&M (FR, IT, ES, PT, BE)",2,0.00,0,0,0.000000,0.000000
Nike (ES),1,0.00,0,0,0.000000,0.000000
Billy Reid,7,0.00,0,0,0.000000,0.000000
Sleepyhead USA,4,0.00,0,0,0.000000,0.000000
Roxanne Assoulin,9,0.00,0,0,0.000000,0.000000
Glossier,4,0.00,0,0,0.000000,0.000000
Jenny Bird (US),25,0.00,0,0,0.000000,0.000000
Journeys,3,0.00,0,0,0.000000,0.000000
Bloomingdale's (UK),40,0.00,0,0,0.000000,0.000000
Recess Pickleball,13,0.00,0,0,0.000000,0.000000
KULE (US),6,0.00,0,0,0.000000,0.000000
NET-A-PORTER APAC,26,0.00,0,0,0.000000,0.000000
rag & bone,24,0.00,0,0,0.000000,0.000000
Grown Alchemist (US),10,0.00,0,0,0.000000,0.000000
Tony Bianco US,2,0.00,0,0,0.000000,0.000000
CALPAK,160,0.00,0,0,0.000000,0.000000
OAK + FORT,2,0.00,0,0,0.000000,0.000000
"aje. (US, UK, Europe, ROW)",2,0.00,0,0,0.000000,0.000000
MME.MINK,8,0.00,0,0,0.000000,0.000000
LoveShackFancy,1,0.00,0,0,0.000000,0.000000
Shona Joy,5,0E-11,1,1,0.200000,0.200000
Balenciaga,65,0.00,0,0,0.000000,0.000000
Chloe US,348,0.00,0,0,0.000000,0.000000
Evereve,1,0.00,0,0,0.000000,0.000000
CALPAK Travel,2,0.00,0,0,0.000000,0.000000
Baltini,1,0.00,0,0,0.000000,0.000000
DolceVita.com,45,0.00,0,0,0.000000,0.000000
Rebecca Taylor,5,0.00,0,0,0.000000,0.000000
Selfridges,6,0.00,0,0,0.000000,0.000000
eBay ES,4,0.00,0,0,0.000000,0.000000
Miron Crosby,2,0.00,0,0,0.000000,0.000000
"Vans (FR, ES, IT, DE, NL, UK)",1,0.00,0,0,0.000000,0.000000
Levi's CA,2,0.00,0,0,0.000000,0.000000
Victoria's Secret (US / CA ),6,0.00,0,0,0.000000,0.000000
Charles Tyrwhitt,2,0.00,0,0,0.000000,0.000000
Bombas,6,0.00,0,0,0.000000,0.000000
FarmRio (US),245,0.00,0,0,0.000000,0.000000
Osea Malibu (US),1,0.00,0,0,0.000000,0.000000
Urban Outfitters FR,6,0.00,0,0,0.000000,0.000000
TWP,13,0.00,0,0,0.000000,0.000000
